Band_code,Band_num,WL_code,WL_num,Pval_cat,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES,species,extra_y,Blomberg's K
band187_1313nm,band187,1313nm,1313,diff,1000,0.15778098162437068,0.001,0.03641680096184682,0.01205928550645554,10.063961135803234,9.99000999000999e-4,0.9949731101278227,0.7091197772432304,-1.180607501539606,diff,0.15,0.15778098162437068
band188_1318nm,band188,1318nm,1318,diff,1000,0.15767281303844835,0.001,0.03664630537357509,0.01190396464689606,10.166907518196524,0.00199800199800199,1.013842515016019,0.7634703609701147,-1.121418388645325,diff,0.15,0.15767281303844835
band189_1323nm,band189,1323nm,1323,diff,1000,0.14969043904174412,0.001,0.03667404396047727,0.01167176568796578,9.68288758553411,9.99000999000999e-4,0.9690728008301968,0.7222720646462076,-1.1344511326072302,diff,0.15,0.14969043904174412
band190_1328nm,band190,1328nm,1328,diff,1000,0.13396803536979315,0.001,0.03573187952740007,0.0112728146445064,8.714430152567676,0.00199800199800199,0.9973185057106972,0.7587399856649405,-1.1378739576829942,diff,0.15,0.13396803536979315
band191_1333nm,band191,1333nm,1333,diff,1000,0.12055525278544044,0.001,0.03589860870063856,0.01096213598798895,7.72264129705733,9.99000999000999e-4,1.0361265680247806,0.8128634886205023,-1.1263531060955163,diff,0.15,0.12055525278544044
band192_1338nm,band192,1338nm,1338,diff,1000,0.10939893992779204,0.001,0.03601572240374261,0.0108460593561097,6.765887509430956,9.99000999000999e-4,1.0336796642974535,0.7960171088732465,-1.161131732052808,diff,0.15,0.10939893992779204
band214_1448nm,band214,1448nm,1448,no_diff,1000,0.06130762427324595,0.23300000000000015,0.04727719877747473,0.03164213121071969,0.443409623780904,9.99000999000999e-4,1.0177657631001582,0.766033851361728,-1.2485846899933724,no_diff,0.15,0.06130762427324595
band215_1453nm,band215,1453nm,1453,no_diff,1000,0.06451881948466315,0.21700000000000016,0.0482021695309689,0.03218905171435937,0.5069006101355723,9.99000999000999e-4,0.9870405303105813,0.744387359002799,-1.2393033004506586,no_diff,0.15,0.06451881948466315
band216_1458nm,band216,1458nm,1458,no_diff,1000,0.0696022458217741,0.17100000000000012,0.0460670789000462,0.02961298504229765,0.7947583429401488,9.99000999000999e-4,0.9869123860693148,0.6742684554416669,-1.3604524026660476,no_diff,0.15,0.0696022458217741
band217_1463nm,band217,1463nm,1463,no_diff,1000,0.06763304324528537,0.18500000000000016,0.04630803645069539,0.03180387656143473,0.6705159590654619,9.99000999000999e-4,1.0206645966263608,0.7455548686239621,-1.278284930443877,no_diff,0.15,0.06763304324528537
band218_1468nm,band218,1468nm,1468,no_diff,1000,0.06637239993121427,0.20700000000000016,0.0471655889585258,0.03163047695604101,0.6072248293752086,9.99000999000999e-4,0.9907380599167632,0.7383396863390027,-1.251951746720999,no_diff,0.15,0.06637239993121427
band219_1473nm,band219,1473nm,1473,no_diff,1000,0.06631511158138324,0.1830000000000001,0.04516512904857816,0.02812352788815664,0.7520387419713352,9.99000999000999e-4,1.0194951757447823,0.7439122681466966,-1.2813070908724895,no_diff,0.15,0.06631511158138324
band220_1478nm,band220,1478nm,1478,no_diff,1000,0.06811703479235824,0.1490000000000001,0.04434125005170381,0.02713835786450441,0.8760951881967752,9.99000999000999e-4,0.9733098081966076,0.7037401337205285,-1.2862599843761684,no_diff,0.15,0.06811703479235824
band221_1483nm,band221,1483nm,1483,no_diff,1000,0.07218781310875173,0.1340000000000001,0.04441834061916863,0.02530639121040821,1.097330403955893,9.99000999000999e-4,0.9804052602516083,0.7288597157333545,-1.2460799074744286,no_diff,0.15,0.07218781310875173
band222_1488nm,band222,1488nm,1488,no_diff,1000,0.07757732467388158,0.08300000000000006,0.04249456110565122,0.02160864938175994,1.6235518911165283,9.99000999000999e-4,0.9971702407792716,0.77758407122507,-1.1826282843687728,no_diff,0.15,0.07757732467388158
band223_1493nm,band223,1493nm,1493,diff,1000,0.08470411733384989,0.04200000000000003,0.04281351374332941,0.02153963495244608,1.944814927597615,9.99000999000999e-4,0.9878867186494906,0.7100685148344991,-1.2719654264999374,diff,0.15,0.08470411733384989
band224_1498nm,band224,1498nm,1498,diff,1000,0.09178772534761008,0.02900000000000002,0.04199688766492419,0.02123214321396282,2.3450688506067583,9.99000999000999e-4,0.9659620562104916,0.7013629550683195,-1.2463936461795715,diff,0.15,0.09178772534761008
band225_1503nm,band225,1503nm,1503,diff,1000,0.09475116917541748,0.02100000000000001,0.04102830708212261,0.01859393717307775,2.889267700177047,9.99000999000999e-4,0.97572926445156,0.6887801763275733,-1.279041014178612,diff,0.15,0.09475116917541748
band226_1508nm,band226,1508nm,1508,diff,1000,0.10050691225024248,0.005,0.03867710020672676,0.0169565448826717,3.6463685539322968,9.99000999000999e-4,1.01865087998736,0.7862065742064259,-1.1678151746109038,diff,0.15,0.10050691225024248
band227_1513nm,band227,1513nm,1513,diff,1000,0.10310112041148511,0.007,0.03906118494633166,0.01614613586049277,3.966270073439045,9.99000999000999e-4,0.9963103151746744,0.7213376609223678,-1.23826779489241,diff,0.15,0.10310112041148511
band228_1518nm,band228,1518nm,1518,diff,1000,0.10720321655778256,0.005,0.03834710748820762,0.01660680554699782,4.146258524838495,9.99000999000999e-4,1.0108415179257133,0.7570981595923179,-1.1935550099005945,diff,0.15,0.10720321655778256
